datum; celkovy cas; aktualny_cas
2022-10-05T01:27Z;00:02;00:02
2022-10-05T01:28Z;00:05;00:02
2022-10-05T01:28Z;00:07;00:02
2022-10-05T01:28Z;00:10;00:02
2022-10-05T01:28Z;00:13;00:02
2022-10-05T01:28Z;00:15;00:02
2022-10-05T01:28Z;00:18;00:02
2022-10-05T01:28Z;00:20;00:02
2022-10-05T01:28Z;00:22;00:01
2022-10-05T01:28Z;00:24;00:01
2022-10-05T01:28Z;00:27;00:02
2022-10-05T01:28Z;00:29;00:01
2022-10-05T01:28Z;00:30;00:01
2022-10-05T01:28Z;00:32;00:01
2022-10-05T01:28Z;00:34;00:01
2022-10-05T01:28Z;00:36;00:01
2022-10-05T01:28Z;00:38;00:01
2022-10-05T01:28Z;00:40;00:01
2022-10-05T01:28Z;00:41;00:01
2022-10-05T01:28Z;00:43;00:01
2022-10-05T01:28Z;00:45;00:01
2022-10-05T01:28Z;00:47;00:01
2022-10-05T01:28Z;00:49;00:01
2022-10-05T01:28Z;00:51;00:01
2022-10-05T01:28Z;00:52;00:01
2022-10-05T01:28Z;00:54;00:01
2022-10-05T01:28Z;00:56;00:02
2022-10-05T01:28Z;00:58;00:01
2022-10-05T01:28Z;01:00;00:01
2022-10-05T01:28Z;01:02;00:01
2022-10-05T01:28Z;01:04;00:01
2022-10-05T01:29Z;01:06;00:02
2022-10-05T01:29Z;01:08;00:02
2022-10-05T01:29Z;01:10;00:01
2022-10-05T01:29Z;01:12;00:01
2022-10-05T01:29Z;01:14;00:01
2022-10-05T01:29Z;01:16;00:01
2022-10-05T01:29Z;01:18;00:01
2022-10-05T01:29Z;01:20;00:02
2022-10-05T01:29Z;01:22;00:01
2022-10-05T01:29Z;01:24;00:01
2022-10-05T01:29Z;01:26;00:01
2022-10-05T01:29Z;01:28;00:01
2022-10-05T01:29Z;01:30;00:01
2022-10-05T01:29Z;01:34;00:03
2022-10-05T01:29Z;01:37;00:03
2022-10-05T01:29Z;01:40;00:02
2022-10-05T01:29Z;01:42;00:02
2022-10-05T01:29Z;01:45;00:02
2022-10-05T01:29Z;01:49;00:03
2022-10-05T01:29Z;01:52;00:03
2022-10-05T01:29Z;01:54;00:02
2022-10-05T01:29Z;01:57;00:02
2022-10-05T01:29Z;01:59;00:02
2022-10-05T01:29Z;02:01;00:01
2022-10-05T01:29Z;02:03;00:01
2022-10-05T01:30Z;02:05;00:01
2022-10-05T01:30Z;02:07;00:01
2022-10-05T01:30Z;02:09;00:01
2022-10-05T01:30Z;02:11;00:01
2022-10-05T01:30Z;02:13;00:01
2022-10-05T01:30Z;02:15;00:01
2022-10-05T01:30Z;02:17;00:01
2022-10-05T01:30Z;02:19;00:01
2022-10-05T01:30Z;02:21;00:01
2022-10-05T01:30Z;02:23;00:02
2022-10-05T01:30Z;02:25;00:01
2022-10-05T01:30Z;02:27;00:01
2022-10-05T01:30Z;02:29;00:01
2022-10-05T01:30Z;02:31;00:01
2022-10-05T01:30Z;02:33;00:01
2022-10-05T01:30Z;02:35;00:01
2022-10-05T01:30Z;02:37;00:02
2022-10-05T01:30Z;02:39;00:01
2022-10-05T01:30Z;02:41;00:01
2022-10-05T01:30Z;02:43;00:01
2022-10-05T01:30Z;02:45;00:01
2022-10-05T01:30Z;02:46;00:01
2022-10-05T01:30Z;02:49;00:02
2022-10-05T01:30Z;02:51;00:01
2022-10-05T01:30Z;02:53;00:01
2022-10-05T01:30Z;02:55;00:02
2022-10-05T01:30Z;02:57;00:01
2022-10-05T01:30Z;02:59;00:01
2022-10-05T01:30Z;03:01;00:01
2022-10-05T01:30Z;03:03;00:01
2022-10-05T01:31Z;03:04;00:01
2022-10-05T01:31Z;03:06;00:01
2022-10-05T01:31Z;03:08;00:01
2022-10-05T01:31Z;03:10;00:01
2022-10-05T01:31Z;03:12;00:01
2022-10-05T01:31Z;03:14;00:01
2022-10-05T01:31Z;03:15;00:01
2022-10-05T01:31Z;03:17;00:01
2022-10-05T01:31Z;03:19;00:01
2022-10-05T01:31Z;03:21;00:01
2022-10-05T01:31Z;03:23;00:01
2022-10-05T01:31Z;03:25;00:01
2022-10-05T01:31Z;03:26;00:01
2022-10-05T01:31Z;03:28;00:01
2022-10-05T01:31Z;03:30;00:01
2022-10-05T01:31Z;03:32;00:01
2022-10-05T01:31Z;03:34;00:01
2022-10-05T01:31Z;03:36;00:01
2022-10-05T01:31Z;03:38;00:01
2022-10-05T01:31Z;03:40;00:01
2022-10-05T01:31Z;03:42;00:01
2022-10-05T01:31Z;03:44;00:01
2022-10-05T01:31Z;03:45;00:01
2022-10-05T01:31Z;03:48;00:02
2022-10-05T01:31Z;03:49;00:01
2022-10-05T01:31Z;03:52;00:02
2022-10-05T01:31Z;03:54;00:02
2022-10-05T01:31Z;03:56;00:01
2022-10-05T01:31Z;03:58;00:01
2022-10-05T01:31Z;04:00;00:01
2022-10-05T01:31Z;04:02;00:02
2022-10-05T01:31Z;04:04;00:02
2022-10-05T01:32Z;04:07;00:02
2022-10-05T01:32Z;04:09;00:02
2022-10-05T01:32Z;04:11;00:01
2022-10-05T01:32Z;04:13;00:01
2022-10-05T01:32Z;04:15;00:01
2022-10-05T01:32Z;04:17;00:01
2022-10-05T01:32Z;04:19;00:01
2022-10-05T01:32Z;04:21;00:01
2022-10-05T01:32Z;04:23;00:02
2022-10-05T01:32Z;04:25;00:01
2022-10-05T01:32Z;04:27;00:01
2022-10-05T01:32Z;04:29;00:01
2022-10-05T01:32Z;04:31;00:02
2022-10-05T01:32Z;04:33;00:02
2022-10-05T01:32Z;04:35;00:02
2022-10-05T01:32Z;04:38;00:02
2022-10-05T01:32Z;04:40;00:01
2022-10-05T01:32Z;04:42;00:02
2022-10-05T01:32Z;04:45;00:02
2022-10-05T01:32Z;04:47;00:02
2022-10-05T01:32Z;04:49;00:02
2022-10-05T01:32Z;04:51;00:02
2022-10-05T01:32Z;04:53;00:02
2022-10-05T01:32Z;04:56;00:02
2022-10-05T01:32Z;04:58;00:02
2022-10-05T01:32Z;05:00;00:01
2022-10-05T01:32Z;05:02;00:02
2022-10-05T01:32Z;05:04;00:02
2022-10-05T01:33Z;05:06;00:01
2022-10-05T01:33Z;05:08;00:01
2022-10-05T01:33Z;05:10;00:01
2022-10-05T01:33Z;05:12;00:01
2022-10-05T01:33Z;05:15;00:02
2022-10-05T01:33Z;05:17;00:01
2022-10-05T01:33Z;05:19;00:01
2022-10-05T01:33Z;05:21;00:02
2022-10-05T01:33Z;05:23;00:01
