datum;celkovy_cas;aktualny_cas
2022-10-05T17:30Z;00:00;00:00
2022-10-05T17:30Z;00:00;00:00
2022-10-05T17:30Z;00:01;00:00
2022-10-05T17:30Z;00:01;00:00
2022-10-05T17:30Z;00:01;00:00
2022-10-05T17:30Z;00:02;00:00
2022-10-05T17:30Z;00:02;00:00
2022-10-05T17:30Z;00:02;00:00
2022-10-05T17:30Z;00:03;00:00
2022-10-05T17:30Z;00:03;00:00
2022-10-05T17:30Z;00:04;00:00
2022-10-05T17:30Z;00:04;00:00
2022-10-05T17:30Z;00:04;00:00
2022-10-05T17:30Z;00:05;00:00
2022-10-05T17:30Z;00:05;00:00
2022-10-05T17:30Z;00:05;00:00
2022-10-05T17:30Z;00:06;00:00
2022-10-05T17:30Z;00:06;00:00
2022-10-05T17:30Z;00:06;00:00
2022-10-05T17:30Z;00:07;00:00
2022-10-05T17:30Z;00:07;00:00
2022-10-05T17:30Z;00:08;00:00
2022-10-05T17:30Z;00:08;00:00
2022-10-05T17:30Z;00:08;00:00
2022-10-05T17:30Z;00:09;00:00
2022-10-05T17:30Z;00:09;00:00
2022-10-05T17:30Z;00:09;00:00
2022-10-05T17:30Z;00:10;00:00
2022-10-05T17:30Z;00:10;00:00
2022-10-05T17:30Z;00:11;00:00
2022-10-05T17:30Z;00:11;00:00
2022-10-05T17:30Z;00:11;00:00
2022-10-05T17:30Z;00:12;00:00
2022-10-05T17:30Z;00:12;00:00
2022-10-05T17:30Z;00:12;00:00
2022-10-05T17:30Z;00:13;00:00
2022-10-05T17:30Z;00:13;00:00
2022-10-05T17:30Z;00:14;00:00
2022-10-05T17:30Z;00:14;00:00
2022-10-05T17:30Z;00:14;00:00
2022-10-05T17:30Z;00:15;00:00
2022-10-05T17:30Z;00:15;00:00
2022-10-05T17:30Z;00:15;00:00
2022-10-05T17:30Z;00:16;00:00
2022-10-05T17:30Z;00:16;00:00
2022-10-05T17:30Z;00:17;00:00
2022-10-05T17:30Z;00:17;00:00
2022-10-05T17:30Z;00:17;00:00
2022-10-05T17:30Z;00:18;00:00
2022-10-05T17:30Z;00:18;00:00
2022-10-05T17:30Z;00:19;00:00
2022-10-05T17:30Z;00:19;00:00
2022-10-05T17:30Z;00:19;00:00
2022-10-05T17:30Z;00:20;00:00
2022-10-05T17:30Z;00:20;00:00
2022-10-05T17:31Z;00:20;00:00
2022-10-05T17:31Z;00:21;00:00
2022-10-05T17:31Z;00:21;00:00
2022-10-05T17:31Z;00:22;00:00
2022-10-05T17:31Z;00:22;00:00
2022-10-05T17:31Z;00:22;00:00
2022-10-05T17:31Z;00:23;00:00
2022-10-05T17:31Z;00:23;00:00
2022-10-05T17:31Z;00:23;00:00
2022-10-05T17:31Z;00:24;00:00
2022-10-05T17:31Z;00:24;00:00
2022-10-05T17:31Z;00:25;00:00
2022-10-05T17:31Z;00:25;00:00
2022-10-05T17:31Z;00:25;00:00
2022-10-05T17:31Z;00:26;00:00
2022-10-05T17:31Z;00:26;00:00
2022-10-05T17:31Z;00:27;00:00
2022-10-05T17:31Z;00:27;00:00
2022-10-05T17:31Z;00:27;00:00
2022-10-05T17:31Z;00:28;00:00
2022-10-05T17:31Z;00:28;00:00
2022-10-05T17:31Z;00:29;00:00
2022-10-05T17:31Z;00:29;00:00
2022-10-05T17:31Z;00:29;00:00
2022-10-05T17:31Z;00:30;00:00
2022-10-05T17:31Z;00:30;00:00
2022-10-05T17:31Z;00:30;00:00
2022-10-05T17:31Z;00:31;00:00
2022-10-05T17:31Z;00:31;00:00
2022-10-05T17:31Z;00:32;00:00
2022-10-05T17:31Z;00:32;00:00
2022-10-05T17:31Z;00:32;00:00
2022-10-05T17:31Z;00:33;00:00
2022-10-05T17:31Z;00:33;00:00
2022-10-05T17:31Z;00:33;00:00
2022-10-05T17:31Z;00:34;00:00
2022-10-05T17:31Z;00:34;00:00
2022-10-05T17:31Z;00:35;00:00
2022-10-05T17:31Z;00:35;00:00
2022-10-05T17:31Z;00:35;00:00
2022-10-05T17:31Z;00:36;00:00
2022-10-05T17:31Z;00:36;00:00
2022-10-05T17:31Z;00:37;00:00
2022-10-05T17:31Z;00:37;00:00
2022-10-05T17:31Z;00:37;00:00
2022-10-05T17:31Z;00:38;00:00
2022-10-05T17:31Z;00:38;00:00
2022-10-05T17:31Z;00:39;00:00
2022-10-05T17:31Z;00:39;00:00
2022-10-05T17:31Z;00:39;00:00
2022-10-05T17:31Z;00:40;00:00
2022-10-05T17:31Z;00:40;00:00
2022-10-05T17:31Z;00:40;00:00
2022-10-05T17:31Z;00:41;00:00
