datum;celkovy_cas;aktualny_cas
2022-10-05T17:34Z;00:01;00:01
2022-10-05T17:34Z;00:03;00:01
2022-10-05T17:34Z;00:05;00:01
2022-10-05T17:34Z;00:07;00:01
2022-10-05T17:34Z;00:08;00:01
2022-10-05T17:34Z;00:10;00:01
2022-10-05T17:34Z;00:11;00:01
2022-10-05T17:34Z;00:13;00:01
2022-10-05T17:34Z;00:15;00:01
2022-10-05T17:34Z;00:16;00:01
2022-10-05T17:35Z;00:18;00:01
2022-10-05T17:35Z;00:20;00:01
2022-10-05T17:35Z;00:21;00:01
2022-10-05T17:35Z;00:23;00:01
2022-10-05T17:35Z;00:24;00:01
2022-10-05T17:35Z;00:26;00:01
2022-10-05T17:35Z;00:27;00:01
2022-10-05T17:35Z;00:29;00:01
2022-10-05T17:35Z;00:31;00:01
2022-10-05T17:35Z;00:33;00:01
2022-10-05T17:35Z;00:34;00:01
2022-10-05T17:35Z;00:36;00:01
2022-10-05T17:35Z;00:38;00:01
2022-10-05T17:35Z;00:39;00:01
2022-10-05T17:35Z;00:41;00:01
2022-10-05T17:35Z;00:42;00:01
2022-10-05T17:35Z;00:44;00:01
2022-10-05T17:35Z;00:46;00:01
2022-10-05T17:35Z;00:48;00:01
2022-10-05T17:35Z;00:49;00:01
2022-10-05T17:35Z;00:51;00:01
2022-10-05T17:35Z;00:53;00:01
2022-10-05T17:35Z;00:55;00:01
2022-10-05T17:35Z;00:57;00:01
2022-10-05T17:35Z;00:58;00:01
2022-10-05T17:35Z;01:00;00:01
2022-10-05T17:35Z;01:02;00:01
2022-10-05T17:35Z;01:04;00:01
2022-10-05T17:35Z;01:06;00:02
2022-10-05T17:35Z;01:08;00:01
2022-10-05T17:35Z;01:10;00:01
2022-10-05T17:35Z;01:11;00:01
2022-10-05T17:35Z;01:13;00:01
2022-10-05T17:35Z;01:15;00:01
2022-10-05T17:35Z;01:16;00:01
2022-10-05T17:36Z;01:18;00:01
2022-10-05T17:36Z;01:20;00:01
2022-10-05T17:36Z;01:21;00:01
2022-10-05T17:36Z;01:23;00:01
2022-10-05T17:36Z;01:25;00:01
2022-10-05T17:36Z;01:26;00:01
2022-10-05T17:36Z;01:28;00:01
2022-10-05T17:36Z;01:30;00:01
2022-10-05T17:36Z;01:31;00:01
2022-10-05T17:36Z;01:33;00:01
2022-10-05T17:36Z;01:35;00:01
2022-10-05T17:36Z;01:36;00:01
2022-10-05T17:36Z;01:38;00:01
2022-10-05T17:36Z;01:40;00:01
2022-10-05T17:36Z;01:41;00:01
2022-10-05T17:36Z;01:43;00:01
2022-10-05T17:36Z;01:45;00:01
2022-10-05T17:36Z;01:46;00:01
2022-10-05T17:36Z;01:48;00:01
2022-10-05T17:36Z;01:50;00:01
2022-10-05T17:36Z;01:52;00:01
2022-10-05T17:36Z;01:54;00:01
2022-10-05T17:36Z;01:56;00:01
2022-10-05T17:36Z;01:57;00:01
2022-10-05T17:36Z;01:59;00:01
2022-10-05T17:36Z;02:01;00:01
2022-10-05T17:36Z;02:03;00:01
2022-10-05T17:36Z;02:05;00:01
2022-10-05T17:36Z;02:07;00:01
2022-10-05T17:36Z;02:09;00:01
2022-10-05T17:36Z;02:10;00:01
2022-10-05T17:36Z;02:12;00:01
2022-10-05T17:36Z;02:14;00:01
2022-10-05T17:36Z;02:15;00:01
2022-10-05T17:37Z;02:17;00:01
2022-10-05T17:37Z;02:19;00:01
2022-10-05T17:37Z;02:20;00:01
2022-10-05T17:37Z;02:22;00:01
2022-10-05T17:37Z;02:24;00:01
2022-10-05T17:37Z;02:26;00:01
2022-10-05T17:37Z;02:27;00:01
2022-10-05T17:37Z;02:29;00:01
2022-10-05T17:37Z;02:31;00:01
2022-10-05T17:37Z;02:32;00:01
2022-10-05T17:37Z;02:34;00:01
2022-10-05T17:37Z;02:36;00:01
2022-10-05T17:37Z;02:37;00:01
2022-10-05T17:37Z;02:39;00:01
2022-10-05T17:37Z;02:41;00:01
2022-10-05T17:37Z;02:42;00:01
2022-10-05T17:37Z;02:44;00:01
2022-10-05T17:37Z;02:46;00:01
2022-10-05T17:37Z;02:47;00:01
2022-10-05T17:37Z;02:49;00:01
2022-10-05T17:37Z;02:50;00:01
2022-10-05T17:37Z;02:52;00:01
2022-10-05T17:37Z;02:54;00:01
2022-10-05T17:37Z;02:56;00:01
2022-10-05T17:37Z;02:57;00:01
2022-10-05T17:37Z;02:59;00:01
2022-10-05T17:37Z;03:01;00:01
2022-10-05T17:37Z;03:03;00:01
2022-10-05T17:37Z;03:04;00:01
2022-10-05T17:37Z;03:06;00:01
2022-10-05T17:37Z;03:08;00:01
2022-10-05T17:37Z;03:10;00:01
2022-10-05T17:37Z;03:12;00:01
2022-10-05T17:37Z;03:13;00:01
2022-10-05T17:37Z;03:15;00:01
2022-10-05T17:38Z;03:17;00:01
2022-10-05T17:38Z;03:19;00:01
2022-10-05T17:38Z;03:20;00:01
2022-10-05T17:38Z;03:22;00:01
2022-10-05T17:38Z;03:24;00:01
2022-10-05T17:38Z;03:26;00:01
2022-10-05T17:38Z;03:28;00:01
2022-10-05T17:38Z;03:29;00:01
2022-10-05T17:38Z;03:31;00:01
2022-10-05T17:38Z;03:33;00:01
2022-10-05T17:38Z;03:35;00:01
2022-10-05T17:38Z;03:37;00:01
2022-10-05T17:38Z;03:39;00:01
2022-10-05T17:38Z;03:40;00:01
2022-10-05T17:38Z;03:42;00:01
2022-10-05T17:38Z;03:44;00:01
2022-10-05T17:38Z;03:46;00:01
2022-10-05T17:38Z;03:48;00:01
2022-10-05T17:38Z;03:49;00:01
2022-10-05T17:38Z;03:51;00:01
2022-10-05T17:38Z;03:53;00:01
2022-10-05T17:38Z;03:55;00:01
2022-10-05T17:38Z;03:57;00:01
2022-10-05T17:38Z;03:59;00:01
2022-10-05T17:38Z;04:01;00:01
2022-10-05T17:38Z;04:03;00:01
2022-10-05T17:38Z;04:04;00:01
2022-10-05T17:38Z;04:06;00:01
2022-10-05T17:38Z;04:08;00:01
2022-10-05T17:38Z;04:10;00:01
2022-10-05T17:38Z;04:12;00:01
2022-10-05T17:38Z;04:13;00:01
2022-10-05T17:38Z;04:15;00:01
2022-10-05T17:39Z;04:17;00:01
2022-10-05T17:39Z;04:19;00:01
2022-10-05T17:39Z;04:20;00:01
2022-10-05T17:39Z;04:22;00:01
2022-10-05T17:39Z;04:24;00:01
2022-10-05T17:39Z;04:26;00:01
2022-10-05T17:39Z;04:28;00:01
2022-10-05T17:39Z;04:29;00:01
2022-10-05T17:39Z;04:31;00:01
2022-10-05T17:39Z;04:33;00:01
2022-10-05T17:39Z;04:35;00:01
2022-10-05T17:39Z;04:37;00:01
2022-10-05T17:39Z;04:38;00:01
2022-10-05T17:39Z;04:40;00:01
2022-10-05T17:39Z;04:42;00:01
2022-10-05T17:39Z;04:44;00:01
2022-10-05T17:39Z;04:46;00:01
2022-10-05T17:39Z;04:47;00:01
2022-10-05T17:39Z;04:49;00:01
2022-10-05T17:39Z;04:51;00:01
2022-10-05T17:39Z;04:53;00:01
2022-10-05T17:39Z;04:55;00:01
2022-10-05T17:39Z;04:57;00:01
2022-10-05T17:39Z;04:58;00:01
2022-10-05T17:39Z;05:00;00:01
2022-10-05T17:39Z;05:02;00:01
2022-10-05T17:39Z;05:04;00:01
2022-10-05T17:39Z;05:06;00:01
2022-10-05T17:39Z;05:08;00:01
2022-10-05T17:39Z;05:10;00:02
2022-10-05T17:39Z;05:12;00:02
2022-10-05T17:39Z;05:15;00:02
2022-10-05T17:40Z;05:18;00:01
2022-10-05T17:40Z;05:21;00:01
2022-10-05T17:40Z;05:24;00:01
2022-10-05T17:40Z;05:26;00:02
2022-10-05T17:40Z;05:28;00:02
2022-10-05T17:40Z;05:30;00:01
2022-10-05T17:40Z;05:32;00:01
2022-10-05T17:40Z;05:34;00:02
2022-10-05T17:40Z;05:37;00:01
2022-10-05T17:40Z;05:39;00:01
2022-10-05T17:40Z;05:41;00:02
2022-10-05T17:40Z;05:43;00:01
2022-10-05T17:40Z;05:45;00:01
2022-10-05T17:40Z;05:47;00:02
2022-10-05T17:40Z;05:49;00:01
2022-10-05T17:40Z;05:51;00:01
2022-10-05T17:40Z;05:53;00:01
2022-10-05T17:40Z;05:55;00:01
2022-10-05T17:40Z;05:57;00:01
2022-10-05T17:40Z;05:59;00:01
2022-10-05T17:40Z;06:01;00:01
2022-10-05T17:40Z;06:03;00:01
2022-10-05T17:40Z;06:05;00:01
2022-10-05T17:40Z;06:07;00:01
2022-10-05T17:40Z;06:08;00:01
2022-10-05T17:40Z;06:10;00:01
2022-10-05T17:40Z;06:12;00:01
2022-10-05T17:40Z;06:14;00:01
2022-10-05T17:40Z;06:16;00:01
2022-10-05T17:41Z;06:18;00:01
2022-10-05T17:41Z;06:19;00:01
2022-10-05T17:41Z;06:21;00:01
2022-10-05T17:41Z;06:23;00:01
2022-10-05T17:41Z;06:25;00:01
2022-10-05T17:41Z;06:27;00:01
2022-10-05T17:41Z;06:28;00:01
2022-10-05T17:41Z;06:30;00:01
2022-10-05T17:41Z;06:32;00:01
2022-10-05T17:41Z;06:34;00:01
2022-10-05T17:41Z;06:36;00:01
2022-10-05T17:41Z;06:38;00:01
2022-10-05T17:41Z;06:39;00:01
2022-10-05T17:41Z;06:41;00:01
2022-10-05T17:41Z;06:43;00:01
2022-10-05T17:41Z;06:45;00:01
2022-10-05T17:41Z;06:46;00:01
2022-10-05T17:41Z;06:48;00:01
2022-10-05T17:41Z;06:50;00:01
2022-10-05T17:41Z;06:52;00:01
2022-10-05T17:41Z;06:54;00:01
2022-10-05T17:41Z;06:55;00:01
2022-10-05T17:41Z;06:57;00:01
2022-10-05T17:41Z;06:59;00:01
2022-10-05T17:41Z;07:01;00:01
2022-10-05T17:41Z;07:03;00:01
2022-10-05T17:41Z;07:05;00:01
2022-10-05T17:41Z;07:06;00:01
2022-10-05T17:41Z;07:08;00:01
2022-10-05T17:41Z;07:10;00:01
2022-10-05T17:41Z;07:12;00:01
2022-10-05T17:41Z;07:13;00:01
2022-10-05T17:41Z;07:15;00:01
2022-10-05T17:42Z;07:17;00:01
2022-10-05T17:42Z;07:19;00:01
2022-10-05T17:42Z;07:20;00:01
2022-10-05T17:42Z;07:22;00:01
2022-10-05T17:42Z;07:24;00:01
2022-10-05T17:42Z;07:26;00:01
2022-10-05T17:42Z;07:27;00:01
2022-10-05T17:42Z;07:29;00:01
2022-10-05T17:42Z;07:31;00:01
2022-10-05T17:42Z;07:32;00:01
2022-10-05T17:42Z;07:34;00:01
2022-10-05T17:42Z;07:36;00:01
2022-10-05T17:42Z;07:38;00:01
2022-10-05T17:42Z;07:40;00:01
2022-10-05T17:42Z;07:41;00:01
2022-10-05T17:42Z;07:43;00:01
2022-10-05T17:42Z;07:45;00:01
2022-10-05T17:42Z;07:47;00:01
2022-10-05T17:42Z;07:49;00:01
2022-10-05T17:42Z;07:50;00:01
2022-10-05T17:42Z;07:52;00:01
2022-10-05T17:42Z;07:54;00:01
2022-10-05T17:42Z;07:56;00:01
2022-10-05T17:42Z;07:58;00:01
2022-10-05T17:42Z;07:59;00:01
2022-10-05T17:42Z;08:01;00:01
2022-10-05T17:42Z;08:03;00:01
2022-10-05T17:42Z;08:05;00:01
2022-10-05T17:42Z;08:06;00:01
2022-10-05T17:42Z;08:08;00:01
2022-10-05T17:42Z;08:10;00:01
2022-10-05T17:42Z;08:12;00:01
2022-10-05T17:42Z;08:14;00:01
2022-10-05T17:42Z;08:15;00:01
2022-10-05T17:43Z;08:17;00:01
2022-10-05T17:43Z;08:19;00:01
2022-10-05T17:43Z;08:21;00:01
2022-10-05T17:43Z;08:22;00:01
2022-10-05T17:43Z;08:24;00:01
